Name,Species,Colors,Size
Monarch,Danaus plexippus,"orange, black, white",4
Zebra Longwing,Heliconius charitonius,"black, white",3
Crimson-patched Longwing,Heliconius erato,"black, red, yellow",3
Common Buckeye,Junonia coenia,"brown, orange, white",2
American Copper,Lycaena phlaeas,"orange, brown",1
Mourning Cloak,Nymphalis antiopa,"brown, yellow, blue",3
Giant Swallowtail,Papilio cresphontes,"black, yellow, orange, blue",5
Cabbage White,Pieris rapae,"white, black",2
Red Admiral,Vanessa atalanta,"black, red",2
Painted Lady,Vanessa cardui,"orange, black, white, blue",2
